employee_id,employee_first_name,employee_middle_name,employee_last_name,employee_gender,employee_location,date_of_birth,hire_date,termination_date,employee_status
E0000001,Paul,Amy,Tapia,Male,North Ruth,1995-02-14,2022-04-04,,Inactive
E0000002,Brandon,,Lewis,Female,Calhounfurt,1988-09-23,2021-12-25,,Active
E0000003,Lauren,,Martinez,Female,Zacharyside,1990-01-07,2022-12-10,,Active
E0000004,Kevin,,Davis,Male,New Michelleport,1982-04-22,2023-08-09,,Active
E0000005,Debra,Adam,Nunez,Male,South Jessicachester,1974-07-30,2023-04-21,,Active
E0000006,Andrew,,Lewis,Female,East Steven,1994-01-13,2021-01-11,,Active
E0000007,Daniel,,Buchanan,Female,East Wendyborough,2000-04-19,2021-01-14,,Inactive
E0000008,Bruce,John,Serrano,Male,Gravesside,1995-10-22,2024-07-16,,Active
E0000009,Mary,Darlene,Weiss,Female,Nelsonberg,1966-03-09,2024-09-18,,Active
E0000010,Tyler,,Wade,Female,Cranetown,2001-03-04,2025-01-12,,Active
E0000011,Jasmine,,Brown,Male,West Monica,1964-09-30,2023-03-09,,Inactive
E0000012,Melinda,,Brown,Male,Levyside,1991-05-07,2024-04-20,,Active
E0000013,Erika,,Phillips,Female,Port Timothyfort,1965-04-11,2021-07-07,,Active
E0000014,Janet,Bailey,Long,Male,Port Jacob,2002-12-06,2023-06-04,,Active
E0000015,Ross,,Galvan,Male,Rodriguezfurt,1987-02-16,2021-06-26,,Active
E0000016,John,,Gonzalez,Female,East Courtney,1971-08-31,2025-01-20,,Active
E0000017,Emily,,Sanchez,Female,Port Jermainemouth,1974-01-01,2022-11-30,,Inactive
E0000018,Michael,,Pearson,Male,West Tiffany,1992-09-29,2021-05-27,,Active
E0000019,Deanna,,Martin,Female,Edwinville,1998-02-21,2021-08-05,,Active
E0000020,Tracy,,Snyder,Male,Huynhfurt,1970-01-12,2024-12-23,,Active
E0000021,Derek,Mary,Smith,Female,Port Matthew,1990-10-22,2025-03-03,,Active
E0000022,Deborah,Shawn,Parsons,Female,Johnside,2007-03-04,2024-10-05,2025-01-11,Inactive
E0000023,Ryan,,Mendoza,Female,North Ernest,1965-06-26,2022-04-25,,Active
E0000024,Briana,,Hall,Male,Annabury,1983-03-29,2022-08-18,,Active
E0000025,Teresa,Samuel,Martinez,Female,East Rebecca,1997-09-03,2023-03-05,,Inactive
E0000026,Karen,Erin,Roberts,Male,North Jane,1980-04-19,2021-07-28,,Inactive
E0000027,Kathy,,Patterson,Female,Tylerville,1994-11-10,2023-03-18,,Active
E0000028,Jessica,Kim,Williams,Female,Lake John,1988-05-10,2022-05-14,,Active
E0000029,Jennifer,,Munoz,Female,North Catherine,2002-01-07,2025-03-04,,Active
